Year,State:,final_didnotvote_weight,final_didvote_weight,segment_size,voterturnout,standard_error
2008,Oregon,87516.9574,466833.6467000001,554350.6041000001,0.84212706407692,0.00048972287745226
2008,Pennsylvania,706383.7828,1447885.8034999997,2154269.5862999996,0.6721005637863421,0.0003198434341001357
2008,Rhode Island,43136.23239999997,116304.13769999992,159440.37009999988,0.729452256207476,0.001112554378663722
2008,South Carolina,254216.49449999994,587555.9836999994,841772.4781999993,0.6979985672095117,0.0005004197090770989
2008,South Dakota,26851.415500000003,99741.28160000005,126592.69710000005,0.7878912756018689,0.0011489684026069534
2008,Tennessee,347190.5782,615902.9923000002,963093.5705000001,0.6395048323085032,0.0004892573934239658
2008,Texas,924708.1253999999,2022211.4922000002,2946919.6176,0.6862119618474388,0.00027031067011168663
2008,Utah,70163.9323,181887.1243,252051.0566,0.7216280969162975,0.0008927403311154999
2008,Vermont,17566.4557,84869.36170000001,102435.8174,0.8285125638095412,0.0011777138553560316
2008,Virginia,266991.4299,828802.1542000002,1095793.5841,0.7563487925335081,0.00041009168749624815
2008,Washington,209284.03020000004,677634.4407,886918.4709000001,0.7640323918526252,0.00045085846806517765
2008,West Virginia,139270.98919999998,164624.7926,303895.7818,0.5417146352769809,0.0009038387206172203
2008,Wisconsin,173832.33850000004,732567.7458999997,906400.0843999998,0.808216767085729,0.00041353214774385733
2008,Wyoming,19248.682500000003,57124.92339999997,76373.60589999997,0.747966823444171,0.0015710802751650774
2010,Alabama,343306.18619999976,391699.6286000003,735005.8148,0.5329204486723473,0.0005819440499856517
2010,Alaska,18241.662699999997,54140.85989999998,72382.52259999998,0.7479824957081559,0.0016137795704473479
2010,Arizona,363813.6412999997,537062.0002000001,900875.6414999999,0.5961555351921458,0.0005169570180132792
2010,Arkansas,195736.09610000002,234423.47369999983,430159.5697999998,0.544968635264801,0.0007592619323968852
2010,California,1570215.980200001,2663159.4586999947,4233375.438899996,0.629086528501236,0.00023477297496193238
2010,Colorado,138091.15999999997,438496.5148999998,576587.6748999998,0.7605027543747795,0.0005620409767584064
2010,Connecticut,192603.081,308281.1424000001,500884.22340000013,0.6154738520358836,0.0006873834410004992
2010,Delaware,67459.2069,90360.16199999995,157819.36889999994,0.5725543235270154,0.0012452847291109129
2010,District of Columbia,43547.63379999997,31178.8725,74726.50629999996,0.4172397994204102,0.0018038501920579727
2010,Florida,1267059.4507000002,1727684.8624000025,2994744.3131000027,0.5769056325919169,0.00028549015539691295
2010,Georgia,567289.3352999999,595027.7805,1162317.1157999998,0.5119323912652307,0.00046364329240141544
2010,Hawaii,74492.03310000002,116662.53580000004,191154.56890000007,0.6103047207887062,0.0011154332740628994
2010,Idaho,72107.8419,159514.54980000015,231622.39170000015,0.6886836312725979,0.0009621008260509291
2010,Illinois,712594.9406,983468.4116000005,1696063.3522000005,0.5798535829008523,0.00037899935386915054
2010,Indiana,449178.2486999999,485727.0090000001,934905.2577,0.5195467722525785,0.0005167185848647317
2010,Iowa,162126.0349000001,335344.9387000002,497470.97360000026,0.6740995083054631,0.0006645392549428261
2010,Kansas,136602.48629999996,246156.51410000017,382759.00040000014,0.6431109754251518,0.0007743670248376086
2010,Kentucky,231409.1088000001,390684.71010000026,622093.8189000003,0.6280157401190988,0.000612801194283416
2010,Louisiana,272237.4354,378576.89960000006,650814.3350000001,0.5816972356639932,0.0006114561425162452
2010,Maine,64385.38529999999,186883.6457000001,251269.0310000001,0.7437591690318575,0.000870905134373415
2010,Maryland,264291.0916000001,471450.7559000004,735741.8475000005,0.6407828472744308,0.0005593340300752735
2010,Massachusetts,329873.35960000014,684318.0614999997,1014191.4210999999,0.6747425064568018,0.0004651818100567676
2010,Michigan,500940.9004000001,954905.7520000001,1455846.6524000003,0.6559109439347981,0.00039373140125579696
2010,Minnesota,214162.29069999987,570286.0720000002,784448.3627,0.7269899449303805,0.0005030038890839797
2010,Mississippi,204858.83499999996,231793.8387000001,436652.67370000004,0.5308425956398766,0.0007552210868456539
2010,Missouri,352002.95590000006,503727.31799999985,855730.2738999999,0.588651977572626,0.0005319435683014108
2010,Montana,48037.242299999976,130873.87080000009,178911.11310000008,0.7315021886139058,0.001047754491078968
2010,Nebraska,95744.92199999999,156830.87209999977,252575.79409999977,0.6209259785120474,0.0009653528052374957
2010,Nevada,164819.42850000004,205614.29939999996,370433.7279,0.5550636562324754,0.0008165167077178828
2010,New Hampshire,71575.46120000003,142400.2778999999,213975.73909999995,0.6654973059046203,0.0010199777386175261
2010,New Jersey,595290.1057000001,658369.808,1253659.9137,0.525158219390548,0.000445994677975381
2010,New Mexico,98293.41919999999,161303.20459999988,259596.62379999988,0.6213609493021456,0.0009519960779569605
2010,New York,1420056.756799999,1328640.7965,2748697.553299999,0.4833710405515063,0.00030141593553230367
2010,North Carolina,609456.9857999999,801407.4740000002,1410864.4598,0.5680258429031555,0.0004170328668362667
2010,North Dakota,30593.889100000004,66917.41359999999,97511.30269999999,0.6862528932248589,0.0014859509700832524
2010,Ohio,667245.7298000003,1077909.386699999,1745155.1164999993,0.6176582107278825,0.000367860347000214
2010,Oklahoma,238446.9482,358180.0654,596627.0136000001,0.6003416828862138,0.0006341503263038678
2010,Oregon,159184.15519999995,408874.41839999985,568058.5735999998,0.7197751031355968,0.0005958750614688107
2010,Pennsylvania,986433.6189000006,1263789.3608000013,2250222.979700002,0.561628501797848,0.00033077520467235556
2010,Rhode Island,61952.9097,94834.84520000011,156787.75490000012,0.604861299662631,0.0012346578215595412
2010,South Carolina,447910.96910000034,378401.0013999998,826311.9705,0.4579396340718989,0.0005480951021965543
2010,South Dakota,36298.020300000004,92910.06549999994,129208.08579999994,0.7190731518444953,0.0012503693343266671
2010,Tennessee,477633.0215000001,473683.63100000034,951316.6525000004,0.4979242503063407,0.0005126296388297219
2010,Texas,1250238.5189999994,1404277.2940999996,2654515.813099999,0.5290144768284711,0.00030636905657490125
2010,Utah,136390.5454,188938.92960000003,325329.47500000003,0.5807617941780406,0.0008651028441226954
2010,Vermont,36895.186099999984,74143.85700000003,111039.04310000001,0.6677278093366424,0.0014135425112779905
2010,Virginia,523443.3597000005,561727.7886,1085171.1483000005,0.5176398114527717,0.00047967871088087477
2010,Washington,221162.58470000006,724030.586399999,945193.171099999,0.7660133489510774,0.0004354651677686285
